uid,pmin_median,pmax_median,pmax_99_perc,pmax_max
COAL_CR 230 4203 COALC2_AC UN,5.0,586.0,586.0,586.0
COAL_CR 230 4203 REC2_AC UN,5.0,586.0,586.0,586.0
COAL_CR 230 4200 COALC1_AC UN,5.0,582.0,582.0,582.0
COAL_CR 230 4200 REC1_AC UN,5.0,582.0,582.0,582.0
KINCAID 345 Q345 20UKN-1 UN,0.0,579.0,579.0,579.0
KINCAID 345 Q345 20UKN-2 UN,0.0,579.0,679.0,679.0
29_JOLIE 24 A24 JO-7 UN,0.0,576.0,576.0,576.0
CARTER1 230 1 1 UN,0.0,576.0,576.0,576.0
29_JOLIE 24 A24 JO-8 UN,0.0,567.0,567.0,567.0
SHERCO 26 9998 SHERCN_3_UNIT UN,0.0,566.4,566.4,566.4
HAWTHORN 161 65G HAW5 UN,1.0,565.0,565.0,565.0
GRDA17 10 21G 2 UN,1.0,560.0,560.0,560.0
LARAMIE 23.4 808 BEPM UN,225.0,560.0,560.0,560.0
LARAMIE 345 CSL BEPM UN,225.0,560.0,560.0,560.0
JOLIET00 345 Q345 24UJO-8 UN,0.0,560.0,560.0,560.0
GREC3 345 RLJ GREC3 UN,0.0,559.6,559.6,559.6
KING 20 9001 KING_1_UNIT UN,0.0,555.0,555.0,555.0
MCADMS 500 G101 G1 UN,270.0,551.2,551.2,551.2
ARROWHD 230 D230 HVDC_GEN_UNIT UN,0.0,550.0,1000.0,1000.0
ARROWHD 230 A230 HVDC_GEN_UNIT UN,0.0,550.0,550.0,550.0
CHOUT_AE 16 C20G CHOUTEAU2 UN,0.0,550.0,550.0,550.0
NELSON_E 230 FKG6 G6 UN,0.0,550.0,550.0,550.0
L_CATH 22 11 G4 UN,0.0,547.0,547.0,547.0
PETERSBU 22 QQ22 PE4 UN,1.0,545.0,545.0,800.0
PETERSBU 22 QQ22 PE3 UN,1.0,540.0,540.0,800.0
SONR1 10 4G 2 UN,0.0,540.0,540.0,540.0
SONR1 10 3G 1 UN,0.0,540.0,540.0,540.0
B_WLSN 18 34 G1 UN,0.0,538.0,538.0,538.0
960_ELGI 138 Q13Z EQ_UN_Q138 UN,-536.0,536.0,536.0,536.0
TOLKSUB 24 44 1 UN,1.0,536.0,536.0,536.0
TOLKSUB 24 43 2 UN,1.0,535.0,535.0,535.0
COAL_CR 230 4204 COALC2_DC UN,200.0,535.0,1000.0,1000.0
L_GPSY 24 25 G3 UN,0.1,535.0,535.0,535.0
COAL_CR 230 4204 REC2_DC UN,200.0,535.0,535.0,535.0
SIOUX 18 24 2 UN,0.0,535.0,535.0,535.0
SIOUX 138 12 2 UN,0.0,535.0,535.0,535.0
L_GPSY 22 25 G3 UN,0.1,535.0,535.0,535.0
